CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
9,Male,64,19,3
11,Male,67,19,14
13,Female,58,20,15
19,Male,52,23,29
23,Female,46,25,5
25,Female,54,28,14
27,Female,45,28,32
29,Female,40,29,31
31,Male,60,30,4
33,Male,53,33,4
35,Female,49,33,14
37,Female,42,34,17
41,Female,65,38,35
43,Male,48,39,36
45,Female,49,39,28
47,Female,50,40,55
51,Female,49,42,52
54,Male,59,43,60
55,Female,50,43,45
56,Male,47,43,41
57,Female,51,44,50
58,Male,69,44,46
60,Male,53,46,46
61,Male,70,46,56
63,Female,67,47,52
64,Female,54,47,59
65,Male,63,48,51
67,Female,43,48,50
68,Female,68,48,48
71,Male,70,49,55
72,Female,47,49,42
73,Female,60,50,49
74,Female,60,50,56
75,Male,59,54,47
77,Female,45,54,53
78,Male,40,54,48
80,Female,49,54,42
81,Male,57,54,51
83,Male,67,54,41
84,Female,46,54,44
86,Male,48,54,46
87,Female,55,57,58
90,Female,50,58,46
91,Female,68,59,55
93,Male,48,60,49
94,Female,40,60,40
97,Female,47,60,47
99,Male,48,61,42
102,Female,49,62,48
103,Male,67,62,59
105,Male,49,62,56
107,Female,66,63,50
108,Male,54,63,46
109,Male,68,63,43
110,Male,66,63,48
111,Male,65,63,52
117,Female,63,65,43
118,Female,49,65,59
119,Female,51,67,43
120,Female,50,67,57
123,Female,40,69,58
127,Male,43,71,35
128,Male,40,71,95
129,Male,59,71,11
131,Male,47,71,9
137,Female,44,73,7
141,Female,57,75,5
147,Male,48,77,36
151,Male,43,78,17
153,Female,44,78,20
155,Female,47,78,16
161,Female,56,79,35
165,Male,50,85,26
167,Male,42,86,20
171,Male,40,87,13
175,Female,52,88,13
177,Male,58,88,15
179,Male,59,93,14
183,Male,46,98,15
185,Female,41,99,39
187,Female,54,101,24
189,Female,41,103,17
195,Female,47,120,16
197,Female,45,126,28
