CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),agegroup
9,Male,64,19,3,>=40
11,Male,67,19,14,>=40
13,Female,58,20,15,>=40
19,Male,52,23,29,>=40
23,Female,46,25,5,>=40
25,Female,54,28,14,>=40
27,Female,45,28,32,>=40
29,Female,40,29,31,>=40
31,Male,60,30,4,>=40
33,Male,53,33,4,>=40
35,Female,49,33,14,>=40
37,Female,42,34,17,>=40
41,Female,65,38,35,>=40
43,Male,48,39,36,>=40
45,Female,49,39,28,>=40
47,Female,50,40,55,>=40
51,Female,49,42,52,>=40
54,Male,59,43,60,>=40
55,Female,50,43,45,>=40
56,Male,47,43,41,>=40
57,Female,51,44,50,>=40
58,Male,69,44,46,>=40
60,Male,53,46,46,>=40
61,Male,70,46,56,>=40
63,Female,67,47,52,>=40
64,Female,54,47,59,>=40
65,Male,63,48,51,>=40
67,Female,43,48,50,>=40
68,Female,68,48,48,>=40
71,Male,70,49,55,>=40
72,Female,47,49,42,>=40
73,Female,60,50,49,>=40
74,Female,60,50,56,>=40
75,Male,59,54,47,>=40
77,Female,45,54,53,>=40
78,Male,40,54,48,>=40
80,Female,49,54,42,>=40
81,Male,57,54,51,>=40
83,Male,67,54,41,>=40
84,Female,46,54,44,>=40
86,Male,48,54,46,>=40
87,Female,55,57,58,>=40
90,Female,50,58,46,>=40
91,Female,68,59,55,>=40
93,Male,48,60,49,>=40
94,Female,40,60,40,>=40
97,Female,47,60,47,>=40
99,Male,48,61,42,>=40
102,Female,49,62,48,>=40
103,Male,67,62,59,>=40
105,Male,49,62,56,>=40
107,Female,66,63,50,>=40
108,Male,54,63,46,>=40
109,Male,68,63,43,>=40
110,Male,66,63,48,>=40
111,Male,65,63,52,>=40
117,Female,63,65,43,>=40
118,Female,49,65,59,>=40
119,Female,51,67,43,>=40
120,Female,50,67,57,>=40
123,Female,40,69,58,>=40
127,Male,43,71,35,>=40
128,Male,40,71,95,>=40
129,Male,59,71,11,>=40
131,Male,47,71,9,>=40
137,Female,44,73,7,>=40
141,Female,57,75,5,>=40
147,Male,48,77,36,>=40
151,Male,43,78,17,>=40
153,Female,44,78,20,>=40
155,Female,47,78,16,>=40
161,Female,56,79,35,>=40
165,Male,50,85,26,>=40
167,Male,42,86,20,>=40
171,Male,40,87,13,>=40
175,Female,52,88,13,>=40
177,Male,58,88,15,>=40
179,Male,59,93,14,>=40
183,Male,46,98,15,>=40
185,Female,41,99,39,>=40
187,Female,54,101,24,>=40
189,Female,41,103,17,>=40
195,Female,47,120,16,>=40
197,Female,45,126,28,>=40
1,Male,19,15,39,<40
2,Male,21,15,81,<40
3,Female,20,16,6,<40
4,Female,23,16,77,<40
5,Female,31,17,40,<40
6,Female,22,17,76,<40
7,Female,35,18,6,<40
8,Female,23,18,94,<40
10,Female,30,19,72,<40
12,Female,35,19,99,<40
14,Female,24,20,77,<40
15,Male,37,20,13,<40
16,Male,22,20,79,<40
17,Female,35,21,35,<40
18,Male,20,21,66,<40
20,Female,35,23,98,<40
21,Male,35,24,35,<40
22,Male,25,24,73,<40
24,Male,31,25,73,<40
26,Male,29,28,82,<40
28,Male,35,28,61,<40
30,Female,23,29,87,<40
32,Female,21,30,73,<40
34,Male,18,33,92,<40
36,Female,21,33,81,<40
38,Female,30,34,73,<40
39,Female,36,37,26,<40
40,Female,20,37,75,<40
42,Male,24,38,92,<40
44,Female,31,39,61,<40
46,Female,24,39,65,<40
48,Female,27,40,47,<40
49,Female,29,40,42,<40
50,Female,31,40,42,<40
52,Male,33,42,60,<40
53,Female,31,43,54,<40
59,Female,27,46,51,<40
62,Male,19,46,55,<40
66,Male,18,48,59,<40
69,Male,19,48,59,<40
70,Female,32,48,47,<40
76,Male,26,54,54,<40
79,Female,23,54,52,<40
82,Male,38,54,55,<40
85,Female,21,54,57,<40
88,Female,22,57,55,<40
89,Female,34,58,60,<40
92,Male,18,59,41,<40
95,Female,32,60,42,<40
96,Male,24,60,52,<40
98,Female,27,60,50,<40
100,Male,20,61,49,<40
101,Female,23,62,41,<40
104,Male,26,62,55,<40
106,Female,21,62,42,<40
112,Female,19,63,54,<40
113,Female,38,64,42,<40
114,Male,19,64,46,<40
115,Female,18,65,48,<40
116,Female,19,65,50,<40
121,Male,27,67,56,<40
122,Female,38,67,40,<40
124,Male,39,69,91,<40
125,Female,23,70,29,<40
126,Female,31,70,77,<40
130,Male,38,71,75,<40
132,Male,39,71,75,<40
133,Female,25,72,34,<40
134,Female,31,72,71,<40
135,Male,20,73,5,<40
136,Female,29,73,88,<40
138,Male,32,73,73,<40
139,Male,19,74,10,<40
140,Female,35,74,72,<40
142,Male,32,75,93,<40
143,Female,28,76,40,<40
144,Female,32,76,87,<40
145,Male,25,77,12,<40
146,Male,28,77,97,<40
148,Female,32,77,74,<40
149,Female,34,78,22,<40
150,Male,34,78,90,<40
152,Male,39,78,88,<40
154,Female,38,78,76,<40
156,Female,27,78,89,<40
157,Male,37,78,1,<40
158,Female,30,78,78,<40
159,Male,34,78,1,<40
160,Female,30,78,73,<40
162,Female,29,79,83,<40
163,Male,19,81,5,<40
164,Female,31,81,93,<40
166,Female,36,85,75,<40
168,Female,33,86,95,<40
169,Female,36,87,27,<40
170,Male,32,87,63,<40
172,Male,28,87,75,<40
173,Male,36,87,10,<40
174,Male,36,87,92,<40
176,Female,30,88,86,<40
178,Male,27,88,69,<40
180,Male,35,93,90,<40
181,Female,37,97,32,<40
182,Female,32,97,86,<40
184,Female,29,98,88,<40
186,Male,30,99,97,<40
188,Male,28,101,68,<40
190,Female,36,103,85,<40
191,Female,34,103,23,<40
192,Female,32,103,69,<40
193,Male,33,113,8,<40
194,Female,38,113,91,<40
196,Female,35,120,79,<40
198,Male,32,126,74,<40
199,Male,32,137,18,<40
200,Male,30,137,83,<40
